#Processor Clock Rate ~= 0.5000 GHz (extracted from file)
#Clock frequency is approx. 500.0 MHz
#Memory mountain (MB/sec)
16	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	
128e3	2530	1331	834	615	490	413	296	264	211	195	170	161	156	150	146	
64e3	2469	1334	846	639	508	390	317	244	223	194	190	163	158	153	181	
32e3	2505	1367	859	661	504	412	336	266	217	208	176	165	159	154	152	
16e3	2549	1408	931	711	570	448	391	291	270	220	204	176	172	163	160	
8e3	3068	1831	1232	942	764	632	456	401	325	301	280	257	248	249	223	
4e3	2630	2019	1723	1493	1073	926	833	745	798	814	817	802	799	822	823	
2e3	3925	3059	2637	2116	1760	1512	1321	1165	1119	1122	1084	1052	1029	1006	984	
1024	4255	3316	2738	2195	1900	1626	1428	1259	1207	1165	1124	1089	1065	1045	1022	
512	4420	3478	2878	2324	1942	1661	1453	1279	1232	1198	1167	1140	1130	1132	1127	
256	4564	3749	3416	3017	2622	2285	1988	1790	1792	1774	1778	1904	1925	1952	1966	
128	4748	4124	4059	3772	3290	2908	2573	2306	2208	2228	2253	2183	2173	2235	2252	
64	4712	4094	4021	3775	3357	3044	2699	2435	2349	2317	2353	2326	2342	2388	3915	
32	5114	5063	5047	4842	4876	4893	4876	4613	4840	4818	5170	4675	4667	4570	5151	
16	5258	5082	5113	4830	4818	4806	4432	5172	4840	4054	5099	5250	5250	5223	4875	
